student_id,name,major,semester,GPA,courses_taken,courses_gpa,required_major_courses_completed,credits_completed,current_courses,lab_interest_keywords,preferred_research_area,prior_project_experience,weekly_study_hours,attendance_rate,sleeps_hours_per_day,stress_level,assignment_completion_rate,class_participation
22200001,Ha Heejin,Electrical Engineering,2,2.96,,,,0,ECE10020;ECE10005,Artificial Intelligence;Autonomous Systems;Signal Processing;Computer Vision,Wireless Communication,yes,19,86%,5,2,92%,78%
22100002,Choi Hana,Computer Science,6,3.58,ECE10002;ECE10020;ECE10005;ECE20057;ECE20010;ECE20025;ECE20027;ECE20022;ECE20063;ECE20026;ECE30011;ECE30012,4.41;4.49;4.11;3.27;3.24;3.84;4.15;4.42;3.22;3.36;3.08;2.59,ECE10020;ECE20010;ECE20026,36,ECE30087;ECE30086,Image Processing;Artificial Intelligence,Multimedia Systems,yes,10,86%,6,3,75%,90%
22300003,Nam Gyuri,Computer Science and Electrical Engineering,2,3.19,,,,0,ECE10002;ECE10020,Deep Learning;Autonomous Systems,Multimedia Systems,yes,21,80%,7,3,80%,75%
22100004,Gu Yuna,Computer Science,5,3.73,ECE10020;ECE10005;ECE10002;ECE20016;ECE20065;ECE20010;ECE20022;ECE20063,3.08;3.84;2.98;3.94;3.41;3.13;3.97;3.5,ECE10020;ECE20010,24,ECE30021;ECE30051;ECE30070,Integrated Circuits;Security;Medical Imaging;Software Engineering,Embedded Systems,no,20,100%,8,10,85%,85%
22300005,Shin Chaeyoung,Computer Science,4,3.1,ECE10005;ECE10002;ECE20064;ECE20057,3.34;2.61;2.75;3.07,,12,ECE20026;ECE20063,Deep Learning;Sensor Technology;Mobile Computing;Human-Computer Interaction,Multimedia Systems,no,14,86%,8,1,98%,100%
22300006,Gu Seojin,Computer Science and Electrical Engineering,3,3.88,ECE10005;ECE10020;ECE10002,2.7;4.41;4.41,ECE10020,9,ECE20064;ECE20010;ECE20057;ECE20065,Multimedia Systems;Embedded Systems;Mobile Computing;Integrated Circuits,Artificial Intelligence,no,16,94%,4,8,87%,86%
21900007,Gu Jiwon,Electrical Engineering,5,3.84,ECE10020;ECE10005;ECE20057;ECE20010;ECE20022;ECE20066,4.39;3.29;3.21;4.15;4.5;2.86,ECE10020;ECE20066,18,ECE30051;ECE30083;ECE30054,Mobile Computing;Software Engineering,Autonomous Systems,no,6,82%,6,10,95%,81%
22000008,Oh Hana,Computer Science and Electrical Engineering,4,3.47,ECE10002;ECE10020;ECE20064;ECE20065;ECE20010,2.75;3.04;3.76;4.17;4.06,ECE10020;ECE20010,15,ECE20042;ECE20006;ECE20022,Medical Imaging;Autonomous Systems;Security,Artificial Intelligence,no,31,88%,7,2,81%,84%
22200009,Oh Soyeon,Computer Science,4,3.28,ECE10005;ECE10002;ECE10020;ECE20016;ECE20065;ECE20064,3.02;3.17;3.09;2.66;4.48;4.48,ECE10020,18,ECE20009;ECE20027,Deep Learning;Web Development,Human-Computer Interaction,yes,7,81%,6,4,92%,90%
22400010,Seok Mingyu,AI - Computer Science and Engineering,2,3.79,,,,0,ECE10020;ECE10005;ECE10002,Wireless Communication;Web Development;Robotics;Artificial Intelligence,Sensor Technology,no,32,91%,5,4,96%,91%
